"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"834","71","poldrack-single-stim","85","462488","0.0-85.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">77 jours</div></div>","89,71","4000","","20","23","77","smaller_sooner","",""
"702","71","poldrack-single-stim","86","467069","0.0-86.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">27€</div><br><br><div class = delbox style = ""color:white"">130 jours</div></div>","89,71","4000","","20","27","130","smaller_sooner","",""
"851","71","poldrack-single-stim","87","471918","0.0-87.0","sub-12_ses-02_2","","4840","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">134 jours</div></div>","89,71","4000","","20","23","134","smaller_sooner","",""
"854","71","poldrack-single-stim","88","476429","0.0-88.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">55€</div><br><br><div class = delbox style = ""color:white"">107 jours</div></div>","89,71","4000","","20","55","107","smaller_sooner","",""
"549","71","poldrack-single-stim","89","482099","0.0-89.0","sub-12_ses-02_2","","5656","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">44€</div><br><br><div class = delbox style = ""color:white"">143 jours</div></div>","89,71","4000","","20","44","143","smaller_sooner","",""
"724","71","poldrack-single-stim","90","487008","0.0-90.0","sub-12_ses-02_2","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">110 jours</div></div>","89,71","4000","","20","23","110","smaller_sooner","",""
"642","71","poldrack-single-stim","91","491649","0.0-91.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">65€</div><br><br><div class = delbox style = ""color:white"">156 jours</div></div>","89,71","4000","","20","65","156","smaller_sooner","",""
"988","71","poldrack-single-stim","92","496180","0.0-92.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">22€</div><br><br><div class = delbox style = ""color:white"">27 jours</div></div>","89,71","4000","","20","22","27","smaller_sooner","",""
"1011","71","poldrack-single-stim","93","500699","0.0-93.0","sub-12_ses-02_2","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">50€</div><br><br><div class = delbox style = ""color:white"">59 jours</div></div>","89,71","4000","","20","50","59","smaller_sooner","",""
"662","71","poldrack-single-stim","94","505821","0.0-94.0","sub-12_ses-02_2","","5112","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">85€</div><br><br><div class = delbox style = ""color:white"">129 jours</div></div>","89,71","4000","","20","85","129","smaller_sooner","",""
"1004","89","poldrack-single-stim","95","511969","0.0-95.0","sub-12_ses-02_2","","6132","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">66€</div><br><br><div class = delbox style = ""color:white"">58 jours</div></div>","89,71","4000","","20","66","58","larger_later","",""
"789","71","poldrack-single-stim","96","516830","0.0-96.0","sub-12_ses-02_2","","4840","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">49€</div><br><br><div class = delbox style = ""color:white"">172 jours</div></div>","89,71","4000","","20","49","172","smaller_sooner","",""
"896","89","poldrack-single-stim","97","521419","0.0-97.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">73€</div><br><br><div class = delbox style = ""color:white"">44 jours</div></div>","89,71","4000","","20","73","44","larger_later","",""
"1047","71","poldrack-single-stim","98","526139","0.0-98.0","sub-12_ses-02_2","","4704","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">73 jours</div></div>","89,71","4000","","20","58","73","smaller_sooner","",""
"1023","71","poldrack-single-stim","99","532019","0.0-99.0","sub-12_ses-02_2","","5860","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">71€</div><br><br><div class = delbox style = ""color:white"">76 jours</div></div>","89,71","4000","","20","71","76","smaller_sooner","",""
"1055","71","poldrack-single-stim","100","536669","0.0-100.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">67€</div><br><br><div class = delbox style = ""color:white"">74 jours</div></div>","89,71","4000","","20","67","74","smaller_sooner","",""
"753","71","poldrack-single-stim","101","541999","0.0-101.0","sub-12_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">29€</div><br><br><div class = delbox style = ""color:white"">58 jours</div></div>","89,71","4000","","20","29","58","smaller_sooner","",""
"540","71","poldrack-single-stim","102","546978","0.0-102.0","sub-12_ses-02_2","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">39€</div><br><br><div class = delbox style = ""color:white"">104 jours</div></div>","89,71","4000","","20","39","104","smaller_sooner","",""
"588","71","poldrack-single-stim","103","551569","0.0-103.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">33€</div><br><br><div class = delbox style = ""color:white"">103 jours</div></div>","89,71","4000","","20","33","103","smaller_sooner","",""
