"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"667","82","poldrack-single-stim","86","230093","0.0-11.0-58.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","58","test",""
"958","89","poldrack-single-stim","87","232359","0.0-11.0-59.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","59","test",""
"736","82","poldrack-single-stim","88","234375","0.0-11.0-60.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","60","test",""
"632","89","poldrack-single-stim","89","237081","0.0-11.0-61.0","pilot-39_ses-02_1","","2680","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","61","test",""
"828","89","poldrack-single-stim","90","239109","0.0-11.0-62.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","62","test",""
"804","71","poldrack-single-stim","91","241401","0.0-11.0-63.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","63","test",""
"896","82","poldrack-single-stim","92","243415","0.0-11.0-64.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","64","test",""
"716","82","poldrack-single-stim","93","245422","0.0-11.0-65.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","65","test",""
"676","89","poldrack-single-stim","94","247711","0.0-11.0-66.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","66","test",""
"586","89","poldrack-single-stim","95","249874","0.0-11.0-67.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","67","test",""
"662","82","poldrack-single-stim","96","252435","0.0-11.0-68.0","pilot-39_ses-02_1","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","68","test",""
"638","82","poldrack-single-stim","97","254858","0.0-11.0-69.0","pilot-39_ses-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","69","test",""
"632","71","poldrack-single-stim","98","256874","0.0-11.0-70.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","70","test",""
"759","71","poldrack-single-stim","99","258881","0.0-11.0-71.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","71","test",""
"769","89","poldrack-single-stim","100","260873","0.0-11.0-72.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","72","test",""
"723","82","poldrack-single-stim","101","263439","0.0-11.0-73.0","pilot-39_ses-02_1","","2544","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","73","test",""
"760","71","poldrack-single-stim","102","265597","0.0-11.0-74.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","74","test",""
"719","71","poldrack-single-stim","103","267620","0.0-11.0-75.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","75","test",""
"667","71","poldrack-single-stim","104","269619","0.0-11.0-76.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","76","test",""
"573","71","poldrack-single-stim","105","271906","0.0-11.0-77.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","77","test",""
"500","71","poldrack-single-stim","106","273930","0.0-11.0-78.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","78","test",""
"493","71","poldrack-single-stim","107","275922","0.0-11.0-79.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","79","test",""
"584","71","poldrack-single-stim","108","278084","0.0-11.0-80.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">ROUGE</div></div>","89,71,82","1500","true","71","","incongruent","blue","red","80","test",""
"795","82","poldrack-single-stim","109","280094","0.0-11.0-81.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","81","test",""
"826","89","poldrack-single-stim","110","282382","0.0-11.0-82.0","pilot-39_ses-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","82","test",""
"516","89","poldrack-single-stim","111","284538","0.0-11.0-83.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","83","test",""
"594","89","poldrack-single-stim","112","286959","0.0-11.0-84.0","pilot-39_ses-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","84","test",""
"687","82","poldrack-single-stim","113","288974","0.0-11.0-85.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","85","test",""
"778","89","poldrack-single-stim","114","290979","0.0-11.0-86.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","86","test",""
"1200","71","poldrack-single-stim","115","293813","0.0-11.0-87.0","pilot-39_ses-02_1","","2816","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","87","test",""
"861","82","poldrack-single-stim","116","295837","0.0-11.0-88.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","88","test",""
"665","89","poldrack-single-stim","117","297823","0.0-11.0-89.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","89","test",""
"689","82","poldrack-single-stim","118","299983","0.0-11.0-90.0","pilot-39_ses-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","90","test",""
"479","71","poldrack-single-stim","119","302000","0.0-11.0-91.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","91","test",""
"1164","89","poldrack-single-stim","120","303995","0.0-11.0-92.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","92","test",""
"900","89","poldrack-single-stim","121","306000","0.0-11.0-93.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","93","test",""
"1447","82","poldrack-single-stim","122","307992","0.0-11.0-94.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","94","test",""
"724","71","poldrack-single-stim","123","310000","0.0-11.0-95.0","pilot-39_ses-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","95","test",""
"48028","32","poldrack-single-stim","124","358030","0.0-12.0","pilot-39_ses-02_1","","48028","0","end","<div class = centerbox><div class = center-text><i>Fin</i></div></div>","32","48028","","","","","","","","","stroop"
"7808","13","text","125","365841","0.0-13.0","pilot-39_ses-02_1","","","","","","","","","","","","","","","",""
